YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2024,9,MONTENEGRO,LY,18053.84556,1621,FALSE
2024,9,NETHERLANDS,EH,914132.30034,28184,FALSE
2024,9,NORTH MACEDONIA,LW,14727.98286,1164,FALSE
2024,9,NORWAY,EN,248431.65366,30031,TRUE
2024,9,POLAND,EP,386638.72684,24860,FALSE
2024,9,PORTUGAL,LP,543712.8415,24403,TRUE
2024,9,ROMANIA,LR,146000.026,10177,FALSE
2024,9,SERBIA,LY,55766.67238,4405,FALSE
2024,9,SLOVAKIA,LZ,20219.77788,1838,FALSE
2024,9,SLOVENIA,LJ,9577.6325,1204,FALSE
2024,9,SPAIN,LE,1861283.22338,89424,FALSE
2024,9,SWEDEN,ES,206103.99758,18628,FALSE
2024,9,SWITZERLAND,LS,491510.9469,21815,FALSE
2024,9,TÜRKIYE,LT,1871020.25954,68605,FALSE
2024,9,UNITED KINGDOM,EG,3248847.93754,107034,TRUE
2024,10,ALBANIA,LA,41375.32096,2969,FALSE
2024,10,ARMENIA,UD,39818.75868,1686,FALSE
2024,10,AUSTRIA,LO,255517.2546,14726,FALSE
2024,10,BELGIUM,EB,503179.31396,14084,FALSE
2024,10,BOSNIA AND HERZEGOVINA,LQ,9714.83624,959,FALSE
2024,10,BULGARIA,LB,59551.16594,3723,FALSE
2024,10,CANARY ISLANDS,GC,331038.60082,19646,FALSE
2024,10,CROATIA,LD,65077.22882,5905,FALSE
2024,10,CYPRUS,LC,122219.5533,5404,FALSE
2024,10,CZECHIA,LK,110374.2389,7132,FALSE
2024,10,DENMARK,EK,265797.12348,15965,TRUE
2024,10,ESTONIA,EE,20824.21972,2100,FALSE
2024,10,FINLAND,EF,187804.72966,8714,FALSE
2024,10,FRANCE,LF,1867911.78038,80767,FALSE
2024,10,GEORGIA,UG,70167.76254,2843,FALSE
2024,10,GERMANY,ED,2571125.20496,93243,FALSE
2024,10,GREECE,LG,513417.0891,31162,FALSE
2024,10,HUNGARY,LH,134352.43548,6419,FALSE
2024,10,ICELAND,BI,46941.12874,2210,FALSE
2024,10,IRELAND,EI,297440.88828,13326,FALSE
2024,10,ITALY,LI,1441328.87678,79395,FALSE
2024,10,KOSOVO,BK,17008.41414,1169,FALSE
2024,10,LATVIA,EV,39405.64346,3026,FALSE
2024,10,LIECHTENSTEIN,LS,0.73944,1,FALSE
2024,10,LITHUANIA,EY,40566.61488,2912,FALSE
2024,10,LUXEMBOURG,EL,169887.8338,3260,FALSE
2024,10,MALTA,LM,49769.41268,3251,FALSE
2024,10,"MOLDOVA, REPUBLIC OF",LU,24265.92252,1574,FALSE
2024,10,MONACO,LN,15.04792,24,FALSE
2024,10,MONTENEGRO,LY,12168.22394,1153,FALSE
2024,10,NETHERLANDS,EH,923764.87802,28379,FALSE
2024,10,NORTH MACEDONIA,LW,13479.17248,1073,FALSE
2024,10,NORWAY,EN,243759.26612,29825,TRUE
2024,10,POLAND,EP,354035.45244,23248,FALSE
2024,10,PORTUGAL,LP,524978.94344,22969,TRUE
2024,10,ROMANIA,LR,139239.28876,9767,FALSE
2024,10,SERBIA,LY,53766.97452,4004,FALSE
2024,10,SLOVAKIA,LZ,12655.10962,1314,FALSE
2024,10,SLOVENIA,LJ,8651.06738,1220,FALSE
2024,10,SPAIN,LE,1780333.2256,85424,FALSE
2024,10,SWEDEN,ES,201790.72596,18150,FALSE
2024,10,SWITZERLAND,LS,500999.99376,21356,FALSE
2024,10,TÜRKIYE,LT,1810421.3976,64565,FALSE
2024,10,UNITED KINGDOM,EG,3209663.11156,104095,TRUE
2024,11,ALBANIA,LA,30601.97246,2236,FALSE
2024,11,ARMENIA,UD,32216.9364,1483,FALSE
2024,11,AUSTRIA,LO,202323.85544,11906,FALSE
2024,11,BELGIUM,EB,485075.00956,12290,FALSE
2024,11,BOSNIA AND HERZEGOVINA,LQ,8182.45362,828,FALSE
2024,11,BULGARIA,LB,52224.90716,2917,FALSE
2024,11,CANARY ISLANDS,GC,386308.74032,21003,FALSE
2024,11,CROATIA,LD,23931.6918,2940,FALSE
2024,11,CYPRUS,LC,69116.5061,3304,FALSE
2024,11,CZECHIA,LK,90157.90344,5698,FALSE
2024,11,DENMARK,EK,214252.40588,12709,TRUE
2024,11,ESTONIA,EE,14706.82946,1568,FALSE
2024,11,FINLAND,EF,178238.81226,8479,FALSE
2024,11,FRANCE,LF,1574472.6227,63566,FALSE
2024,11,GEORGIA,UG,66803.44112,2623,FALSE
2024,11,GERMANY,ED,2185782.78128,74466,FALSE
2024,11,GREECE,LG,195425.90084,15916,FALSE
2024,11,HUNGARY,LH,130167.94188,5581,FALSE
2024,11,ICELAND,BI,33312.87078,1553,FALSE
2024,11,IRELAND,EI,219366.77954,10565,FALSE
2024,11,ITALY,LI,1073800.82976,59806,FALSE
2024,11,KOSOVO,BK,15389.69296,1055,FALSE
2024,11,LATVIA,EV,33558.80384,2567,FALSE
2024,11,LIECHTENSTEIN,LS,0.47400000000000003,1,FALSE
2024,11,LITHUANIA,EY,31251.77016,2287,FALSE
